马来西亚,#genre#
云南卫视,http://121.31.30.90:8085/ysten-business/live/yunnanstv/1.m3u8#http://121.31.30.90:8085/ysten-business/live/yunnanstv/yst.m3u8#http://ivi.bupt.edu.cn/hls/yntv.m3u8#http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/yunnanstv/1.m3u8
云梦农业,http://yunshangyunmeng.live.cjyun.org/video/s10130-ymdjny.m3u8
五星体育,http://117.148.187.83/PLTV/88888888/224/3221226582/index.m3u8
五星体育蓝光,http://117.148.187.37/PLTV/88888888/224/3221226582/index.m3u8
亚太台,http://174.127.67.246/live330/playlist.m3u8
亳州农村,http://218.22.251.12:8001/tslslive/JpWzs2u/hls/live_sd.m3u8
亳州农村频道,http://220.180.110.101:8083/videos/live/39/13/o4ncrHkSp7q09/o4ncrHkSp7q09.M3U8
亳州新闻综合,http://218.22.251.12:8001/tslslive/wT9aUpL/hls/live_sd.m3u8
亳州新闻频道,http://220.180.110.101:8083/videos/live/33/59/NC7XQdEveyncq/NC7XQdEveyncq.M3U8
仙桃新闻综合,http://221.233.242.239:280/live/71/playlist.m3u8
仙桃生活文体,http://221.233.242.239:280/live/72/playlist.m3u8
优优宝贝,http://112.17.40.140/PLTV/88888888/224/3221226829/index.m3u8
优漫卡通,http://117.148.187.37/PLTV/88888888/224/3221226172/index.m3u8#http://121.31.30.90:8085/ysten-business/live/youmankaton/1.m3u8#http://121.31.30.90:8085/ysten-business/live/youmankaton/yst.m3u8#http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/youmankaton/1.m3u8
优视频道,http://1-fss24-s0.streamhoster.com/lv_uchannel/_definst_/broadcast1/chunklist.m3u8
余姚新闻综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
侨乡频道,http://stream.jinjiang.tv/1/sd/live.m3u8
保姆的目的,https://156zy.suyunbo.tv/2018/07/28/55Zmxf2t0KqXP4xy/playlist.m3u8
假面骑士HD,http://117.148.187.37/PLTV/88888888/224/3221226178/index.m3u8
公共农村,http://219.153.252.50/PLTV/88888888/224/3221225626/chunklist.m3u8
六安公共频道,http://live.china-latv.com/channel2/sd/live.m3u8
六安新闻综合,http://live.china-latv.com/channel1/sd/live.m3u8
兵团卫视,http://112.17.40.140/PLTV/88888888/224/3221226186/index.m3u8#http://ivi.bupt.edu.cn/hls/bttv.m3u8#http://v.btzx.com.cn:1935/live/weishi.stream/chunklist_w846804169.m3u8#http://v.btzx.com.cn:1935/live/weishi.stream/playlist.m3u8
兵团建设,http://v.btzx.com.cn:1935/live/news.stream/playlist.m3u8
内蒙古卫视,http://117.169.120.140:8080/live/neimenggustv/.m3u8#http://121.31.30.90:8085/ysten-business/live/neimenggustv/1.m3u8#http://121.31.30.90:8085/ysten-business/live/neimenggustv/yst.m3u8
冕宁电视台,http://live.sichuanmianning.com/live/xwpd.m3u8
农安新闻综合,http://stream2.jlntv.cn/naxw/sd/live.m3u8
凤台文化生活,http://60.175.115.119:1935/live/wenhua/playlist.m3u8
凤台综合频道,http://60.175.115.119:1935/live/zonghe/playlist.m3u8
利川公共频道,http://lichuan.live.tempsource.cjyun.org/videotmp/s10093-lcgg.m3u8
前郭综合频道,http://stream2.jlntv.cn/qg/sd/live.m3u8
包头新闻综合,http://live.btgdt.com/channels/btgd/xwzh/m3u8:500k/live
包头生活服务,http://live.btgdt.com/channels/btgd/shfw/m3u8:500k/live
包头经济频道,http://live.btgdt.com/channels/btgd/jjpd/m3u8:500k/live
北京10少儿,http://ivi.bupt.edu.cn/hls/btv10.m3u8
北京冬奥纪实,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
北京卡酷少儿,http://117.148.187.37/PLTV/88888888/224/3221226184/index.m3u8#http://121.31.30.90:8085/ysten-business/live/kakukaton/1.m3u8#http://121.31.30.90:8085/ysten-business/live/kakukaton/yst.m3u8
北京卫视,http://121.31.30.90:8085/ysten-business/live/beijingstv/1.m3u8#http://121.31.30.90:8085/ysten-business/live/beijingstv/yst.m3u8#http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/beijingstv/1.m3u8
北京卫视HD,http://121.31.30.90:8085/ysten-business/live/hdbeijingstv/1.m3u8#http://121.31.30.90:8085/ysten-business/live/hdbeijingstv/yst.m3u8#http://223.82.250.72/live/hdbeijingstv/1.m3u8#http://ivi.bupt.edu.cn/hls/btv1hd.m3u8
北京影视,http://ivi.bupt.edu.cn/hls/btv4.m3u8
北京文艺,http://ivi.bupt.edu.cn/hls/btv2.m3u8
北京文艺HD,http://ivi.bupt.edu.cn/hls/btv2hd.m3u8
北京新闻,http://ivi.bupt.edu.cn/hls/btv9.m3u8
北京生活,http://ivi.bupt.edu.cn/hls/btv7.m3u8
北京科教,http://ivi.bupt.edu.cn/hls/btv3.m3u8
北京纪实,http://ivi.bupt.edu.cn/hls/btv11hd.m3u8
北京财经,http://ivi.bupt.edu.cn/hls/btv5.m3u8
北京青年,http://ivi.bupt.edu.cn/hls/btv8.m3u8
北碚综合频道,http://222.178.181.121:12034/beibei01.m3u8
华亭电视台,http://117.156.28.119/270000001111/1110000148/index.m3u8
南京十八,http://live.nbs.cn/channels/njtv/sbpd/m3u8:500k/live.m3u8
南京娱乐,http://live.nbs.cn/channels/njtv/ylpd/m3u8:500k/live.m3u8
南京少儿,http://live.nbs.cn/channels/njtv/sepd/m3u8:500k/live.m3u8
南京影视,http://live.nbs.cn/channels/njtv/yspd/m3u8:500k/live.m3u8
南京新闻综合,http://live.nbs.cn/channels/njtv/xwzh/m3u8:500k/live.m3u8
南京生活,http://live.nbs.cn/channels/njtv/shpd/m3u8:500k/live.m3u8
南召一套,http://hnnz.chinashadt.com:1935/live/1002.stream/playlist.m3u8
南川新闻综合,http://221.5.213.4:30000/1111.m3u8#http://nanchuanlive.cbg.cn:30000/1111.m3u8
南川旅游经济,http://221.5.213.4:30000/2222.m3u8#http://nanchuanlive.cbg.cn:30000/2222.m3u8
南阳新闻频道,http://30539.hlsplay.aodianyun.com/lms_30539/tv_channel_142.m3u8#http://hnnz.chinashadt.com:1935/live/1003.stream/playlist.m3u8
南阳科教频道,http://30539.hlsplay.aodianyun.com/lms_30539/tv_channel_296.m3u8
博州汉语综合,http://klmyyun.chinavas.com/hls/bozhou1.m3u8
博州维语综合,http://klmyyun.chinavas.com/hls/bozhou3.m3u8
厦视一套,http://cstvpull.live.wscdns.com/live/xiamen1.flv
厦视二套,http://cstvpull.live.wscdns.com/live/xiamen2.flv
厦门卫视,http://cstvpull.live.wscdns.com/live/xiamen3.flv
厦门卫视XMTV Star,http://cstvpull.live.wscdns.com/live/xiamen4.flv
双峰电视一套,http://hnsf.chinashadt.com:2036/zhuanma/tv1.stream_360p/playlist.m3u8
双流综合,http://streaming.sltv.net/live/1f9c43a006c947aba1afccfbe9f35b2e.m3u8?fmt=h264_550k_ts&m3u8
古墓兽影,http://vip.yingshidaqian.com/20180913/fsPU5O3L/index.m3u8
句容党建频道,http://218.3.92.100:1937/live/dangjian/playlist.m3u8
句容影视,http://218.3.92.100:1937/live/yingshi/chunklist_w365370764.m3u8#http://218.3.92.100:1937/live/yingshi/playlist.m3u8
句容新闻综合,http://218.3.92.100:1937/live/jrxwzh/playlist.m3u8
句容生活频道,http://218.3.92.100:1937/live/shenghuo/playlist.m3u8
吉林乡村,http://stream1.jlntv.cn/xcpd/sd/live.m3u8
吉林公共新闻,http://stream1.jlntv.cn/ggpd/sd/live.m3u8?_upt=b95938311531576098
吉林卫视,http://121.31.30.90:8085/ysten-business/live/jilinstv/1.m3u8#http://121.31.30.90:8085/ysten-business/live/jilinstv/yst.m3u8
吉林卫视高清,http://117.169.120.140:8080/live/jilinstv/.m3u8
吉林山村,http://stream1.jlntv.cn/xcpd/sd/live.m3u8?_upt=ed8b01841531576074
吉林市新闻综合,http://stream2.jlntv.cn/jilin1/sd/live.m3u8
吉林生活,http://stream1.jlntv.cn/shpd/sd/live.m3u8?_upt=212b47d81531576020
吉林都市,http://stream1.jlntv.cn/dspd/sd/live.m3u8?_upt=4f4899d21531575987
吴江新闻综合,http://30515.hlsplay.aodianyun.com/lms_30515/tv_channel_239.m3u8
周口图文信息,http://tv.zkxww.com:1935/live4/mp4:ch4-500k/playlist.m3u8
周口新闻综合2,http://tv.zkxww.com:1935/live1/mp4:ch1-500k/playlist.m3u8
周口科教文化2,http://tv.zkxww.com:1935/live3/mp4:ch3-500k/playlist.m3u8
周口经济生活2,http://tv.zkxww.com:1935/live2/mp4:ch2-500k/playlist.m3u8
和政电视台,http://117.156.28.119/270000001111/1110000149/index.m3u8
咸宁综合频道,http://xianning.live.cjyun.org/video/s10140-XNTV-1/index.m3u8
哈哈炫动Toon Max TV,http://210.210.155.35/qwr9ew/s/s50/index2.m3u8
哈哈炫动卫视,http://210.210.155.35/qwr9ew/s/s50/index.m3u8
嘉佳卡通,http://112.17.40.140/PLTV/88888888/224/3221226461/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226461/index.m3u8
嘉兴新闻综合,http://112.17.40.140/PLTV/88888888/224/3221226358/index.m3u8
四川卫视,http://121.31.30.90:8085/ysten-business/live/sichuanstv/1.m3u8#http://121.31.30.90:8085/ysten-business/live/sichuanstv/yst.m3u8#http://223.82.250.72/live/sichuanstv/1.m3u8#http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/sichuanstv/1.m3u8
四平新闻综合,http://stream2.jlntv.cn/sptv/sd/live.m3u8
四海钓鱼,http://112.17.40.140/PLTV/88888888/224/3221226533/index.m3u8
增城综合,http://202.168.164.38:8083/videos/live/19/27/QEQXMtU5AUpwo/QEQXMtU5AUpwo.M3U8
壤塘综合频道,http://118.122.239.157:1236/hls/hd-live.m3u8
大冶一套,http://dayeyun.live.tempsource.cjyun.org/videotmp/s10102-TC1T.m3u8
大冶二套,http://dayeyun.live.tempsource.cjyun.org/videotmp/s10102-TC2T.m3u8
大悟综合,http://yunshangdawu.live.tempsource.cjyun.org/videotmp/s10129-dwzhpd.m3u8
大足文化频道,http://dazulive.cbg.cn:3170/hls5.m3u8
大足综合频道1,http://dazulive.cbg.cn:3170/hls1.m3u8
天津卫视,http://121.31.30.90:8085/ysten-business/live/tianjinstv/1.m3u8#http://121.31.30.90:8085/ysten-business/live/tianjinstv/yst.m3u8#http://ivi.bupt.edu.cn/hls/tjtv.m3u8#http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/hdtianjinstv/1.m3u8
天津卫视HD,http://121.31.30.90:8085/ysten-business/live/hdtianjinstv/1.m3u8#http://121.31.30.90:8085/ysten-business/live/hdtianjinstv/yst.m3u8
天津卫视高清,http://117.169.120.140:8080/live/hdtianjinstv/.m3u8
夷陵综合,http://yiling.live.cjyun.org/video/s10174-TC1T/index.m3u8
奉化新闻综合,http://stream.fhtv.net.cn/zhpd/sd/live.m3u8
奉化生活娱乐,http://stream.fhtv.net.cn/ylpd/sd/live.m3u8
妇科医生,https://156zy.suyunbo.tv/2018/07/22/C6APNy9p6BWJYpoE/playlist.m3u8
娄底综合频道,http://218.77.102.118:1935/live/zonghe_iphone/playlist.m3u8
孝昌新闻党建,http://xiaochang.live.cjyun.org/video/s10128-xcxw/index.m3u8
孝昌生活频道,http://xiaochang.live.cjyun.org/video/s10128-xcsh/index.m3u8
宁化电视一套,http://fjnh.chinashadt.com:2036/live/stream:nh1.stream/playlist.m3u8
宁夏卫视,http://117.169.120.140:8080/live/ningxiastv/.m3u8#http://121.31.30.90:8085/ysten-business/live/ningxiastv/1.m3u8#http://121.31.30.90:8085/ysten-business/live/ningxiastv/yst.m3u8#http://ivi.bupt.edu.cn/hls/nxtv.m3u8#http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/ningxiastv/1.m3u8
安徽卫视,http://121.31.30.90:8085/ysten-business/live/anhuistv/1.m3u8#http://121.31.30.90:8085/ysten-business/live/anhuistv/yst.m3u8#http://ivi.bupt.edu.cn/hls/ahhd.m3u8
安徽卫视高清,http://125.210.152.10:8060/live/AHWSHD_H265.m3u8#http://219.153.252.50/PLTV/88888888/224/3221225534/chunklist.m3u8
安徽小说评书广播,http://stream1.ahrtv.cn/xspsgb/sd/live.m3u8
安徽戏曲广播,http://stream2.ahrtv.cn/xnxq/sd/live.m3u8
安徽新闻综合广播,http://stream2.ahrtv.cn/xnxw/sd/live.m3u8
安徽旅游广播,http://stream2.ahrtv.cn/lygb/sd/live.m3u8
安徽音乐广播,http://stream.ahrtv.cn/xnyy/sd/live.m3u8
安阳新闻综合,http://hntvpull.8686c.com/wxtv/AY-1/playlist.m3u8
宜兴新闻频道,http://live-dft-hls-yf.jstv.com/live/yixing_xw/online.m3u8
宜兴电视紫砂频道,http://live-dft-hls-yf.jstv.com/live/yixing_zs/online.m3u8
宝应新闻综合,http://jsby.chinashadt.com:2035/live/by1.stream/playlist.m3u8
宝应生活资讯,http://jsby.chinashadt.com:2035/live/by2.stream/playlist.m3u8
宣恩综合,http://xuanen.live.cjyun.org/video/s10097-xezh/index.m3u8
宣汉城市公众,http://60.255.77.232/1000/1000.m3u8
宣汉新闻综合,http://60.255.77.232/1001/1001.m3u8
宿州公共频道,http://live.ahsz.tv/video/s10001-ggpd/index.m3u8
宿州新闻综合,http://live.ahsz.tv/video/s10001-szzh/index.m3u8
宿州科教,http://live.ahsz.tv/video/s10001-kxjy/index.m3u8
山东卫视,http://121.31.30.90:8085/ysten-business/live/shandongstv/1.m3u8#http://121.31.30.90:8085/ysten-business/live/shandongstv/yst.m3u8
山东卫视HD,http://121.31.30.90:8085/ysten-business/live/hdshandongstv/yst.m3u8#http://ivi.bupt.edu.cn/hls/sdhd.m3u8
山东卫视高清,http://117.169.120.140:8080/live/hdshandongstv/.m3u8
山东教育,http://121.31.30.90:8085/ysten-business/live/shandongjy/1.m3u8#http://121.31.30.90:8085/ysten-business/live/shandongjy/yst.m3u8#http://223.82.250.72/live/shandongjy/1.m3u8#http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/shandongjy/1.m3u8
山西卫视,http://117.169.120.140:8080/live/shanxistv/.m3u8#http://121.31.30.90:8085/ysten-business/live/shanxistv/1.m3u8#http://121.31.30.90:8085/ysten-business/live/shanxistv/yst.m3u8#http://125.210.152.10:8060/live/SXWS.m3u8#http://223.82.250.72/live/shanxistv/1.m3u8
岷县电视台,http://117.156.28.119/270000001111/1110000130/index.m3u8
嵊州综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
巴中公共频道,http://30814.hlsplay.aodianyun.com/lms_30814/tv_channel_247.m3u8
巴中综合频道,http://30814.hlsplay.aodianyun.com/lms_30814/tv_channel_246.m3u8
平乡电视台,http://hbpx.chinashadt.com:2036/live/px1.stream/chunklist.m3u8
平乡综合频道,http://hbpx.chinashadt.com:2036/live/px1.stream/playlist.m3u8
广东卫视,http://121.31.30.90:8085/ysten-business/live/guangdongstv/1.m3u8#http://121.31.30.90:8085/ysten-business/live/guangdongstv/yst.m3u8#http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/hdguangdongstv/1.m3u8
广东卫视HD,http://121.31.30.90:8085/ysten-business/live/hdguangdongstv/1.m3u8
广元公共,http://3g.dzsm.com/streamer/gy04.m3u8
广元影视,http://3g.dzsm.com/streamer/gy02.m3u8
广元综合,http://3g.dzsm.com/streamer/gy03.m3u8
广水新闻综合,http://guangshui.live.tempsource.cjyun.org/videotmp/s10146-GSXW.m3u8
广西卫视,http://121.31.30.90:8085/ysten-business/live/guangxistv/1.m3u8#http://121.31.30.90:8085/ysten-business/live/guangxistv/yst.m3u8#http://223.82.250.72/live/guangxistv/1.m3u8#http://ivi.bupt.edu.cn/hls/gxtv.m3u8#http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/guangxistv/1.m3u8
广西旅游广播,http://media.bbrtv.com:1935/live/_definst_/lypl/chunklist_w1542235389.m3u8
应城新闻综合,http://yingcheng.live.cjyun.org/video/s10135-YCZH/index.m3u8
应城生活频道,http://yingcheng.live.cjyun.org/video/s10135-YCDJ/index.m3u8
